query,plan
Plan a 3-day trip from Ahmedabad to Kolkata for 3 person(s) with a budget of ₹45873 starting 2025-08-13.,"Stay at Travel Inn. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple."
Plan a 5-day trip from Mumbai to Chennai for 1 person(s) with a budget of ₹19095 starting 2025-08-25.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 4-day trip from Delhi to Pune for 2 person(s) with a budget of ₹28827 starting 2025-08-01.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 5-day trip from Delhi to Hyderabad for 1 person(s) with a budget of ₹29637 starting 2025-08-25.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 4-day trip from Jaipur to Hyderabad for 3 person(s) with a budget of ₹29492 starting 2025-08-13.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 4-day trip from Lucknow to Kolkata for 3 person(s) with a budget of ₹42286 starting 2025-08-25.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata."
Plan a 5-day trip from Kolkata to Hyderabad for 4 person(s) with a budget of ₹11456 starting 2025-08-05.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Charminar. Day 2: Visit Inorbit Mall Cyberabad, Golconda Fort. Day 3: Visit Qutb Shahi Tombs, Salar Jung Museum. Day 4: Visit Chowmahalla Palace, Hussain Sagar Lake. Day 5: Visit Nehru Zoological Park, Lumbini Park."
Plan a 2-day trip from Ahmedabad to Chennai for 4 person(s) with a budget of ₹11098 starting 2025-08-07.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 2-day trip from Ahmedabad to Chennai for 3 person(s) with a budget of ₹12378 starting 2025-08-24.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 5-day trip from Hyderabad to Mumbai for 4 person(s) with a budget of ₹18866 starting 2025-08-15.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Elephanta Caves."
Plan a 4-day trip from Lucknow to Chennai for 1 person(s) with a budget of ₹46619 starting 2025-08-29.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 4-day trip from Bengaluru to Ahmedabad for 1 person(s) with a budget of ₹49444 starting 2025-08-10.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 2-day trip from Kolkata to Mumbai for 1 person(s) with a budget of ₹14891 starting 2025-08-04.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 2-day trip from Mumbai to Jaipur for 1 person(s) with a budget of ₹46015 starting 2025-08-25.,"Stay at TALAI BAGH PALACE. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal."
Plan a 2-day trip from Jaipur to Ahmedabad for 4 person(s) with a budget of ₹37736 starting 2025-08-01.,"Stay at Hotel Raghu Chhaya. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 4-day trip from Kolkata to Delhi for 2 person(s) with a budget of ₹21695 starting 2025-08-14.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 3-day trip from Chennai to Jaipur for 1 person(s) with a budget of ₹36190 starting 2025-08-19.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace."
Plan a 5-day trip from Bengaluru to Mumbai for 2 person(s) with a budget of ₹49022 starting 2025-08-03.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 4-day trip from Chennai to Kolkata for 3 person(s) with a budget of ₹22266 starting 2025-08-14.,"Stay at Stay Cool. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple. Day 4: Visit Science City Kolkata, Marble Palace."
Plan a 5-day trip from Ahmedabad to Pune for 4 person(s) with a budget of ₹31704 starting 2025-08-31.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 5-day trip from Kolkata to Chennai for 1 person(s) with a budget of ₹19661 starting 2025-08-24.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 5-day trip from Hyderabad to Chennai for 4 person(s) with a budget of ₹40959 starting 2025-08-24.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Chennai to Ahmedabad for 2 person(s) with a budget of ₹36370 starting 2025-08-25.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City."
Plan a 5-day trip from Bengaluru to Mumbai for 3 person(s) with a budget of ₹38171 starting 2025-08-19.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 5-day trip from Delhi to Jaipur for 3 person(s) with a budget of ₹27066 starting 2025-08-12.,"Stay at Art Inn Homestay. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 4-day trip from Delhi to Hyderabad for 2 person(s) with a budget of ₹34173 starting 2025-08-16.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 2-day trip from Ahmedabad to Kolkata for 4 person(s) with a budget of ₹42421 starting 2025-08-31.,"Stay at Southern Plaza. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 2-day trip from Lucknow to Hyderabad for 4 person(s) with a budget of ₹16670 starting 2025-08-26.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 5-day trip from Kolkata to Ahmedabad for 3 person(s) with a budget of ₹29782 starting 2025-08-10.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 5-day trip from Kolkata to Delhi for 4 person(s) with a budget of ₹31364 starting 2025-08-19.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort. Day 5: Visit National Gallery of Modern Art, National Science Centre."
Plan a 5-day trip from Kolkata to Hyderabad for 1 person(s) with a budget of ₹33714 starting 2025-08-03.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 2-day trip from Chennai to Lucknow for 4 person(s) with a budget of ₹42221 starting 2025-08-01.,"Stay at URBAN SUITES LUCKNOW. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 2-day trip from Bengaluru to Jaipur for 1 person(s) with a budget of ₹19131 starting 2025-08-21.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal."
Plan a 2-day trip from Delhi to Pune for 3 person(s) with a budget of ₹35502 starting 2025-08-06.,Stay at FabHotel Sumati Baner. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 4-day trip from Lucknow to Pune for 3 person(s) with a budget of ₹18065 starting 2025-08-15.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 2-day trip from Pune to Hyderabad for 3 person(s) with a budget of ₹46329 starting 2025-08-20.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 4-day trip from Mumbai to Kolkata for 3 person(s) with a budget of ₹42623 starting 2025-08-12.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata."
Plan a 2-day trip from Hyderabad to Lucknow for 2 person(s) with a budget of ₹34492 starting 2025-08-21.,"Stay at URBAN SUITES LUCKNOW. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 2-day trip from Pune to Mumbai for 2 person(s) with a budget of ₹27948 starting 2025-08-31.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 2-day trip from Pune to Lucknow for 3 person(s) with a budget of ₹17386 starting 2025-08-02.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 5-day trip from Hyderabad to Chennai for 3 person(s) with a budget of ₹14905 starting 2025-08-08.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 2-day trip from Pune to Chennai for 1 person(s) with a budget of ₹35476 starting 2025-08-07.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 4-day trip from Kolkata to Lucknow for 4 person(s) with a budget of ₹39882 starting 2025-08-26.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4:"
Plan a 4-day trip from Pune to Kolkata for 1 person(s) with a budget of ₹49282 starting 2025-08-19.,"Stay at Travel Inn. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata."
Plan a 5-day trip from Mumbai to Ahmedabad for 2 person(s) with a budget of ₹19681 starting 2025-08-26.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 4-day trip from Hyderabad to Kolkata for 1 person(s) with a budget of ₹25435 starting 2025-08-14.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple. Day 4: Visit Science City Kolkata, Marble Palace."
Plan a 4-day trip from Jaipur to Chennai for 4 person(s) with a budget of ₹46815 starting 2025-08-13.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 4-day trip from Bengaluru to Pune for 4 person(s) with a budget of ₹14507 starting 2025-08-05.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 4-day trip from Pune to Lucknow for 3 person(s) with a budget of ₹41321 starting 2025-08-24.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4:"
Plan a 5-day trip from Ahmedabad to Jaipur for 3 person(s) with a budget of ₹43106 starting 2025-08-31.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 4-day trip from Mumbai to Chennai for 1 person(s) with a budget of ₹10615 starting 2025-08-04.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 4-day trip from Lucknow to Hyderabad for 4 person(s) with a budget of ₹26819 starting 2025-08-31.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 5-day trip from Chennai to Delhi for 1 person(s) with a budget of ₹11890 starting 2025-08-24.,"Stay at The Taj Mahal Hotel (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort. Day 5: Visit National Gallery of Modern Art, National Science Centre."
Plan a 4-day trip from Chennai to Jaipur for 4 person(s) with a budget of ₹40333 starting 2025-08-29.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4:"
Plan a 3-day trip from Delhi to Kolkata for 2 person(s) with a budget of ₹27158 starting 2025-08-22.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple."
Plan a 3-day trip from Lucknow to Chennai for 3 person(s) with a budget of ₹27891 starting 2025-08-18.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 4-day trip from Pune to Mumbai for 3 person(s) with a budget of ₹32520 starting 2025-08-25.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach."
Plan a 5-day trip from Mumbai to Ahmedabad for 2 person(s) with a budget of ₹20021 starting 2025-08-29.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 5-day trip from Delhi to Pune for 2 person(s) with a budget of ₹19977 starting 2025-08-31.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 2-day trip from Delhi to Pune for 2 person(s) with a budget of ₹24908 starting 2025-08-02.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 4-day trip from Bengaluru to Delhi for 1 person(s) with a budget of ₹20381 starting 2025-08-15.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 5-day trip from Lucknow to Pune for 4 person(s) with a budget of ₹32732 starting 2025-08-13.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 2-day trip from Mumbai to Kolkata for 3 person(s) with a budget of ₹40979 starting 2025-08-02.,"Stay at Southern Plaza. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 3-day trip from Ahmedabad to Lucknow for 4 person(s) with a budget of ₹48744 starting 2025-08-20.,"Stay at URBAN SUITES LUCKNOW. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3:"
Plan a 2-day trip from Kolkata to Chennai for 1 person(s) with a budget of ₹37350 starting 2025-08-16.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 4-day trip from Jaipur to Ahmedabad for 4 person(s) with a budget of ₹13388 starting 2025-08-01.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 5-day trip from Delhi to Ahmedabad for 1 person(s) with a budget of ₹10799 starting 2025-08-29.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 2-day trip from Bengaluru to Mumbai for 2 person(s) with a budget of ₹22141 starting 2025-08-17.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 2-day trip from Hyderabad to Kolkata for 2 person(s) with a budget of ₹28207 starting 2025-08-04.,"Stay at Travel Inn. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 4-day trip from Delhi to Kolkata for 3 person(s) with a budget of ₹36961 starting 2025-08-06.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata."
Plan a 5-day trip from Lucknow to Kolkata for 4 person(s) with a budget of ₹47051 starting 2025-08-04.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple. Day 4: Visit Marble Palace, Science City Kolkata. Day 5: Visit Alipore Zoological Gardens, Eden Gardens."
Plan a 2-day trip from Bengaluru to Mumbai for 3 person(s) with a budget of ₹32302 starting 2025-08-15.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 2-day trip from Mumbai to Lucknow for 3 person(s) with a budget of ₹42166 starting 2025-08-19.,"Stay at URBAN SUITES LUCKNOW. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 4-day trip from Hyderabad to Delhi for 3 person(s) with a budget of ₹37744 starting 2025-08-11.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 3-day trip from Chennai to Kolkata for 3 person(s) with a budget of ₹30273 starting 2025-08-08.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple."
Plan a 5-day trip from Kolkata to Mumbai for 1 person(s) with a budget of ₹38665 starting 2025-08-31.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 5-day trip from Mumbai to Lucknow for 1 person(s) with a budget of ₹42547 starting 2025-08-10.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4: Day 5:"
Plan a 4-day trip from Kolkata to Ahmedabad for 3 person(s) with a budget of ₹48297 starting 2025-08-26.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 5-day trip from Lucknow to Chennai for 3 person(s) with a budget of ₹37586 starting 2025-08-24.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Kolkata to Pune for 4 person(s) with a budget of ₹28994 starting 2025-08-26.,Stay at EMA HOSPITALITY. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 2-day trip from Ahmedabad to Mumbai for 4 person(s) with a budget of ₹26610 starting 2025-08-17.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 2-day trip from Hyderabad to Jaipur for 4 person(s) with a budget of ₹28905 starting 2025-08-25.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal."
Plan a 3-day trip from Delhi to Chennai for 1 person(s) with a budget of ₹23812 starting 2025-08-25.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 4-day trip from Ahmedabad to Chennai for 1 person(s) with a budget of ₹45300 starting 2025-08-16.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 4-day trip from Ahmedabad to Chennai for 4 person(s) with a budget of ₹28388 starting 2025-08-20.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 3-day trip from Lucknow to Pune for 2 person(s) with a budget of ₹17346 starting 2025-08-09.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 2-day trip from Hyderabad to Pune for 2 person(s) with a budget of ₹45251 starting 2025-08-02.,Stay at FabHotel Bhagyashree Magarpatta. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 5-day trip from Mumbai to Jaipur for 1 person(s) with a budget of ₹18179 starting 2025-08-26.,"Stay at Tulsian Guest House and Serviced Appartment. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 5-day trip from Bengaluru to Ahmedabad for 4 person(s) with a budget of ₹49225 starting 2025-08-19.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 5-day trip from Lucknow to Chennai for 4 person(s) with a budget of ₹21710 starting 2025-08-18.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Pune to Chennai for 4 person(s) with a budget of ₹30427 starting 2025-08-04.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 2-day trip from Chennai to Pune for 2 person(s) with a budget of ₹44069 starting 2025-08-13.,Stay at FabHotel Bhagyashree Magarpatta. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 4-day trip from Jaipur to Mumbai for 1 person(s) with a budget of ₹33192 starting 2025-08-20.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach."
Plan a 2-day trip from Lucknow to Chennai for 1 person(s) with a budget of ₹12645 starting 2025-08-31.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 5-day trip from Delhi to Mumbai for 1 person(s) with a budget of ₹21834 starting 2025-08-17.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Essel World, Elephanta Caves."
Plan a 4-day trip from Jaipur to Hyderabad for 1 person(s) with a budget of ₹18492 starting 2025-08-02.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 5-day trip from Pune to Ahmedabad for 2 person(s) with a budget of ₹49632 starting 2025-08-09.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
